Comment,Designator,Footprint,LCSC,Quantity
.1u,"C12,C13,C14,C15,C16,C23,C24,C4,C7,C9",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663,10
47R,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C25384,1
100k,"R6,R8",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25803,2
10u,"C1,C10,C19,C2,C20,C6,C8",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C96446,7
120k,R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25808,1
180k,R9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22827,1
18p,"C17,C5",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1647,2
1N5819WS,"D1,D2",D_SOD-123,C402219,2
1k,"R12,R19",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C21190,2
1u,"C11,C18",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849,2
2.2k,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4190,1
2.2u,"C21,C22",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C23630,2
20k,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4184,1
22u,C3,CP_Elec_5x5.9,C15848,1
33,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23140,1
33uH,"L1,L2",L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C5339211,2
39k,"R11,R15",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23153,2
47k,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25819,1
10k,"R10,R17",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804,2
74LVC1G3157,"U1,U2",SOT-23-6,C10426,2
AMS1117-5.0,U3,SOT-223-3_TabPin2,C473812,1
LM4040DBZ-10,U4,SOT-23,C129969,1
MCP6022,U7,SOIC-8_3.9x4.9mm_P1.27mm,C34047,1
PCM1808PWR,U8,TSSOP-14_4.4x5mm_P0.65mm,C55513,1
PCM5102A,U6,TSSOP-20_4.4x6.5mm_P0.65mm,C107671,1
TL072,U5,SOIC-8_3.9x4.9mm_P1.27mm,C6961,1
