Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,82.1125,-60.925,0,top
C10,1000p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,117.5,-61.1625,-90,top
C11,470p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,117.1875,-64.475,180,top
C12,.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,81.7,-73.4125,90,top
C13,.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,96.3125,-60.65,180,top
C14,.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,104.9375,-66.775,180,top
C15,.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,117.1625,-66.725,0,top
C16,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,122.4,-74.2125,90,top
C17,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,103.9125,-72.075,0,top
C2,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,85.4625,-62.375,0,top
C3,22u,CP_Elec_5x5.9,98.65,-55.325,-90,top
C4,.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,82.825,-70.4,0,top
C6,47u,CP_Elec_5x5.9,105.825,-55.2,-90,top
C7,.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,110.6125,-51.85,0,top
C8,470p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,109.5875,-61.675,180,top
C9,1000p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,105.2125,-62.925,0,top
D1,1N5819WS,D_SOD-123,82.725,-64.825,0,top
D2,1N5819WS,D_SOD-123,82.45,-53.925,180,top
R1,100R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,82.475,-56.725,0,top
R10,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,109.9625,-59.275,180,top
R11,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,105.1625,-60.875,0,top
R12,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,113.7,-59.225,0,top
R13,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,113.825,-61.625,0,top
R14,24k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,119.4375,-72.6,0,top
R15,24k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,103.8875,-74.3,0,top
R16,3.3k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,117.2125,-70.6,180,top
R17,3.3k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,103.9375,-69.9,0,top
R18,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,115.0625,-74.05,0,top
R19,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,107.5625,-74.275,180,top
R2,2.2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,83.0625,-67.5,0,top
R20,18k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,119.5375,-75.05,0,top
R21,18k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,114.9875,-75.9,180,top
R3,10R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,109.85,-54.3625,90,top
R4,47k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,89.0125,-61.525,0,top
R5,47k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100.3875,-61.125,0,top
R6,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,88.9625,-64.425,180,top
R7,180k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,88.6875,-66.9,180,top
R8,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100.825,-66.9375,-90,top
R9,180k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,88.7125,-69,180,top
RV1,5k Zero Trim,Potentiometer_Bourns_TC33X_Vertical,78.475,-76.125,0,top
U1,74LVC1G3157,SOT-23-6,91.8375,-73.925,0,top
U2,74LVC1G3157,SOT-23-6,85.8375,-73.925,0,top
U3,AMS1117-5.0,SOT-223-3_TabPin2,90.225,-54.7125,180,top
U4,LM4040DBZ-10,SOT-23,78.4375,-69.625,0,top
U5,PT8211 DAC,SOIC-8_3.9x4.9mm_P1.27mm,115.8,-55.2175,90,top
U6,TL074,SOIC-14_3.9x8.7mm_P1.27mm,110.625,-68.385,90,top
U7,MCP6022,SOIC-8_3.9x4.9mm_P1.27mm,95.275,-65.245,270,top
