Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C19, C2, C20, C6, C8",0603,7,10u,
"C11, C18, C25, C26",0603,4,1u,
"C12, C13, C14, C15, C16, C23, C24, C4, C7, C9",0603,10,.1u,
"C17, C5",0603,2,18p,
"C21, C22",0603,2,2.2u,
C3,CP_Elec_5x5.9,1,22u,
"D1, D2",D_SOD-123,2,1N5819WS,
"J1, J2, J3, J4, J5, J6",AudioJack_3.5mm,6,PJ3001F,
J7,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
J8,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,DC INPUT,
"L1, L2",0603,2,33uH,
"R1, R22",1206,2,100R,
"R10, R17",0603,2,10k,
"R11, R15",0603,2,39k,
"R12, R19",0603,2,1k,
"R13, R14",0603,2,20k,
"R16, R21, R6, R8",0603,4,100k,
"R18, R20",0603,2,120k,
R2,0603,1,2.2k,
R3,0603,1,33,
"R4, R5",0603,2,47k,
"R7, R9",0603,2,180k,
RZ1,RP2350-Waveshare,1,RP2350-WaveShare,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_topsolder,1,RotaryEncoder_Switch,
U3,SOT-223-3_TabPin2,1,AMS1117-5.0,
U4,SOT-23,1,LM4040DBZ-10,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,TL072,
U6,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,
"U7, U9",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP6022,
U8,TSSOP-14_4.4x5mm_P0.65mm,1,PCM1808PWR,
