Designator,Mid X,Mid Y,Rotation,Layer
C1,104.9,-64.2625,270.0,bottom
C10,110.35,-86.3875,270.0,bottom
C11,113.75,-44.875,90.0,bottom
C12,103.8375,-50.925,0.0,bottom
C13,105.8875,-129.025,0.0,bottom
C14,104.0,-132.8375,90.0,bottom
C15,106.85,-132.8375,90.0,bottom
C16,108.95,-98.4625,270.0,top
C17,111.9125,-138.25,180.0,bottom
C18,103.925,-46.7125,90.0,bottom
C19,98.575,-133.5625,270.0,bottom
C2,102.3,-64.2375,90.0,bottom
C20,114.075,-133.8375,270.0,bottom
C21,106.95,-98.4625,270.0,top
C22,104.875,-98.4625,270.0,top
C23,107.4125,-111.575,0.0,top
C24,102.7,-98.3625,270.0,top
C25,98.55,-46.3625,90.0,bottom
C26,108.2,-36.1875,270.0,bottom
C3,112.225,-71.725,270.0,bottom
C4,99.1375,-69.825,0.0,bottom
C5,100.0875,-140.325,180.0,bottom
C6,106.725,-91.3375,270.0,bottom
C7,108.825,-91.3875,270.0,bottom
C8,104.475,-91.3375,270.0,bottom
C9,101.85,-84.4875,90.0,bottom
D1,99.7,-64.325,270.0,bottom
D2,113.0,-64.3,90.0,bottom
J1,101.1,-125.35,180.0,top
J2,111.175,-125.325,180.0,top
J3,101.1,-41.4,180.0,top
J4,111.125,-41.45,180.0,top
J5,101.125,-136.92,0.0,top
J6,111.175,-136.92,0.0,top
J7,105.925,-58.355,90.0,bottom
J8,106.06,-53.475,90.0,top
L1,110.075,-77.7,270.0,bottom
L2,110.275,-82.375,90.0,bottom
R1,107.2,-64.25,270.0,bottom
R10,99.9625,-136.725,180.0,bottom
R11,100.025,-138.5,180.0,bottom
R12,108.0125,-142.35,180.0,bottom
R13,112.5125,-41.875,180.0,bottom
R14,99.325,-41.675,0.0,bottom
R15,111.8625,-140.15,180.0,bottom
R16,99.3375,-39.925,180.0,bottom
R17,111.9875,-136.425,0.0,bottom
R18,99.3375,-38.2,0.0,bottom
R19,104.225,-142.325,0.0,bottom
R2,99.1625,-67.675,0.0,bottom
R20,112.525,-38.225,180.0,bottom
R21,112.5375,-40.0,0.0,bottom
R22,110.1,-64.25,270.0,bottom
R3,102.1,-91.3125,90.0,bottom
R4,99.8375,-125.7,0.0,bottom
R5,111.6875,-125.7,180.0,bottom
R6,99.9125,-122.05,180.0,bottom
R7,99.8625,-123.85,0.0,bottom
R8,111.8125,-122.05,180.0,bottom
R9,111.8125,-123.9,180.0,bottom
RZ1,106.115,-105.49995,0.0,bottom
SW1,106.05,-84.125,0.0,top
U3,104.725,-71.375,90.0,bottom
U4,99.0,-73.0625,270.0,bottom
U5,105.875,-138.4,90.0,bottom
U6,105.85,-105.7625,180.0,top
U7,105.9,-123.845,90.0,bottom
U8,106.05,-84.125,0.0,bottom
U9,106.15,-40.7575,90.0,bottom
